province;red;green;blue;x;x
1;128;34;64;Stockholm;Stockholm
2;0;36;128;?sterg?tland;?sterg?tland
3;128;38;192;Sm?land;Sm?land
4;0;40;255;Bergslagen;Bergslagen
5;128;42;0;V?rmland;V?rmland
6;0;44;64;Sk?ne;Sk?ne
7;129;46;128;V?sterg?tland;V?sterg?tland
8;1;48;192;Dalaskogen;Dalaskogen
9;129;50;255;H?lsingland;H?lsingland
10;1;52;0;J?mtland;J?mtland
11;129;54;64;V?sterbotten;V?sterbotten
12;1;56;128;Sj?lland;Sj?lland
13;129;58;192;Slesvig;Slesvig
14;2;60;255;Fyn;Fyn
15;130;62;0;Midtjylland;Midtjylland
16;2;64;64;Bohusl?n;Bohusl?n
17;130;66;128;Akershus;Akershus
18;2;68;192;Ume?;Ume?
19;130;70;255;?sterbotten;?sterbotten
20;2;72;0;Tr?ndelag;Tr?ndelag
21;131;74;64;H?logaland;H?logaland
22;3;76;128;Oplandene;Oplandene
23;131;78;192;Bergenshus;Bergenshus
24;3;80;255;Stavanger;Stavanger
25;131;82;0;Gotland;Gotland
26;3;84;64;Halland;Halland
27;131;86;128;Finland;Finland
28;4;88;192;Nyland;Nyland
29;132;90;255;Tavastland;Tavastland
30;4;92;0;Viborg;Viborg
31;132;94;64;Savolax;Savolax
32;4;96;128;Kexholm;Kexholm
33;132;98;192;Neva;Neva
34;4;100;255;Ingermanland;Ingermanland
35;133;102;0;?sel;?sel
36;5;104;64;Estland;Estland
37;133;106;128;Livland;Livland
38;5;108;192;Riga;Riga
39;133;110;255;Kurland;Kurland
40;5;112;0;Memel;Memel
41;133;114;64;Ostpreussen;Ostpreussen
42;6;116;128;Warmia;Warmia
43;134;118;192;Danzig;Danzig
44;6;120;255;Hamburg;Hamburg
45;134;122;0;L??beck;L??beck
46;6;124;64;Mecklenburg;Mecklenburg
47;134;126;128;Stralsund;Stralsund
48;6;128;192;Kolberg;Kolberg
49;135;130;255;Neumark;Neumark
50;7;132;0;Berlin;Berlin
51;135;134;64;Ruppin;Ruppin
52;7;136;128;Magdeburg;Magdeburg
53;135;138;192;L??neburg;L??neburg
54;7;140;255;Bremen;Bremen
55;135;142;0;Oldenburg;Oldenburg
56;8;144;64;Osnabr??ck;Osnabr??ck
57;136;146;128;Hannover;Hannover
58;8;148;192;Anhalt;Anhalt
59;136;150;255;Meissen;Meissen
60;8;152;0;Lausitz;Lausitz
61;136;154;64;Dresden;Dresden
62;8;156;128;Leipzig;Leipzig
63;137;158;192;Erfurt;Erfurt
64;9;32;255;Niederbayern;Niederbayern
65;137;34;0;M??nchen;M??nchen
66;9;36;64;Bamberg;Bamberg
67;137;38;128;Franken;Franken
68;9;40;192;Memmingen;Memmingen
69;137;42;255;Konstanz;Konstanz
70;10;44;0;W??rttemberg;W??rttemberg
71;138;46;64;Leiningen;Leiningen
72;10;48;128;Breisgau;Breisgau
73;138;50;192;Tirol;Tirol
74;10;52;255;Baden;Baden
75;138;54;0;Elsass;Elsass
76;10;56;64;Salzburg;Salzburg
77;139;58;128;Worms;Worms
78;11;60;192;Pfalz;Pfalz
79;139;62;255;W??rzburg;W??rzburg
80;11;64;0;Trier;Trier
81;139;66;64;Hessen;Hessen
82;11;68;128;Lippe;Lippe
83;139;70;192;Nassau;Nassau
84;12;72;255;Berg;Berg
85;140;74;0;K?ln;K?ln
86;12;76;64;M??nster;M??nster
87;140;78;128;Calais;Calais
88;12;80;192;Artois;Artois
89;140;82;255;Picardie;Picardie
90;12;84;0;Vlaanderen;Vlaanderen
91;141;86;64;Hainault;Hainault
92;13;88;128;Brabant;Brabant
93;141;90;192;Li??ge;Li??ge
94;13;92;255;Luxemburg;Luxemburg
95;141;94;0;Noord;Noord
96;13;96;64;Zeeland;Zeeland
97;141;98;128;Holland;Holland
98;14;100;192;Utrecht;Utrecht
99;142;102;255;Gelre;Gelre
100;14;104;0;Friesland;Friesland
101;142;106;64;Liguria;Liguria
102;14;108;128;Nice;Nice
103;85;80;32;Niklas;Niklas
104;14;112;255;Lombardia;Lombardia
105;143;114;0;Parma;Parma
106;15;116;64;Modena;Modena
107;143;118;128;Brescia;Brescia
108;15;120;192;Verona;Verona
109;143;122;255;Mantua;Mantua
110;15;124;0;Trent;Trent
111;143;126;64;Friuli;Friuli
112;16;128;128;Venezia;Venezia
113;144;130;192;Ferrara;Ferrara
114;16;132;255;Romagna;Romagna
115;144;134;0;Pisa;Pisa
116;16;136;64;Firenze;Firenze
117;144;138;128;Siena;Siena
118;16;140;192;Roma;Roma
119;145;142;255;Ancona;Ancona
120;17;144;0;Abbruzzi;Abbruzzi
121;145;146;64;Napoli;Napoli
122;17;148;128;Apulia;Apulia
123;145;150;192;Calabria;Calabria
124;17;152;255;Messina;Messina
125;145;154;0;Palermo;Palermo
126;18;156;64;Malta;Malta
127;146;158;128;Sardinia;Sardinia
128;18;32;192;K?rnten;K?rnten
129;146;34;255;Krain;Krain
130;18;36;0;Istria;Istria
131;146;38;64;Croatia;Croatia
132;18;40;128;Steiermark;Steiermark
133;147;42;192;Linz;Linz
134;19;44;255;Wien;Wien
135;147;46;0;Sopron;Sopron
136;19;48;64;Dalmatia;Dalmatia
137;147;50;128;Ragusa;Ragusa
138;19;52;192;Zeta;Zeta
139;147;54;255;Hum;Hum
140;20;56;0;Bosnia;Bosnia
141;148;58;64;Serbia;Serbia
142;20;60;128;Corfu;Corfu
143;148;62;192;Albania;Albania
144;20;64;255;Janina;Janina
145;148;66;0;Morea;Morea
146;20;68;64;Athens;Athens
147;149;70;128;Salonica;Salonica
148;21;72;192;Macedonia;Macedonia
149;149;74;255;Edirne;Edirne
150;21;76;0;Bulgaria;Bulgaria
151;149;78;64;Thrace;Thrace
152;21;80;128;Slavonia;Slavonia
153;149;82;192;Pecs;Pecs
154;22;84;255;Ersekujvar;Ersekujvar
